date,universe,category,weighting_method,asset_id,ticker,constituent_status,units_held,price,price_source,position_value,portfolio_weight,entry_date,exit_date,terminal_proceeds,realized_pl,rebalance_trade_value
2025-06-30,full_market,all,equal_weight,rally-gmtblack1,GMTBLACK1,included_in_index,0.14100957432989727,30.0,asof_observed_or_offering,4.230287229896918,0.04347826086956523,2020-06-01,,0.0,0.0,
2025-06-30,full_market,all,equal_weight,rally-riviera,RIVIERA,included_in_index,0.9837877278830043,4.3,asof_observed_or_offering,4.230287229896918,0.04347826086956523,2021-04-01,,0.0,0.0,
2025-06-30,full_market,all,equal_weight,rally-rlexpepsi,RLEXPEPSI,included_in_index,0.38988822395363304,10.85,asof_observed_or_offering,4.230287229896918,0.04347826086956523,2019-11-01,,0.0,0.0,
2025-06-30,full_market,all,equal_weight,rally-smurf,SMURF,included_in_index,0.248840425288054,17.0,asof_observed_or_offering,4.230287229896918,0.04347826086956523,2019-11-01,,0.0,0.0,
2025-06-30,full_market,all,equal_weight,rally-snoopy,SNOOPY,included_in_index,0.28201914865979455,15.0,asof_observed_or_offering,4.230287229896918,0.04347826086956523,2020-04-01,,0.0,0.0,
2025-06-30,full_market,all,equal_weight,rally-tornek,TORNEK,included_in_index,1.3646087838377154,3.1,asof_observed_or_offering,4.230287229896918,0.04347826086956523,2020-11-01,,0.0,0.0,
2025-06-30,full_market,all,equal_weight,rally-03tache,03TACHE,included_in_index,1.0445153654066466,4.05,asof_observed_or_offering,4.230287229896918,0.04347826086956523,2020-11-01,,0.0,0.0,
2025-06-30,full_market,all,equal_weight,rally-14drc,14DRC,included_in_index,0.07421556543678803,57.0,asof_observed_or_offering,4.230287229896918,0.04347826086956523,2020-09-01,,0.0,0.0,
2025-06-30,full_market,all,equal_weight,rally-karuizawa,KARUIZAWA,included_in_index,1.1280765946391782,3.75,asof_observed_or_offering,4.230287229896918,0.04347826086956523,2021-11-01,,0.0,0.0,
2025-06-30,full_market,all,equal_weight,rally-macallan1,MACALLAN1,included_in_index,0.2363288955249675,17.9,asof_observed_or_offering,4.230287229896918,0.04347826086956523,2021-11-01,,0.0,0.0,
2025-06-30,full_market,all,equal_weight,rally-macallan2,MACALLAN2,included_in_index,0.5678237892479084,7.45,asof_observed_or_offering,4.230287229896918,0.04347826086956523,2022-02-01,,0.0,0.0,
2025-06-30,full_market,all,equal_weight,rally-macallan3,MACALLAN3,included_in_index,0.6714741634757013,6.3,asof_observed_or_offering,4.230287229896918,0.04347826086956523,2022-07-01,,0.0,0.0,
2025-07-31,full_market,all,equal_weight,rally-megalodon,MEGALODON,included_in_index,0.7554084339101639,5.6,asof_observed_or_offering,4.230287229896917,0.04347826086956522,2021-10-01,,0.0,0.0,
2025-07-31,full_market,all,equal_weight,rally-mosasaur,MOSASAUR,included_in_index,1.0575718074742293,4.0,asof_observed_or_offering,4.230287229896917,0.04347826086956522,2021-02-01,,0.0,0.0,
2025-07-31,full_market,all,equal_weight,rally-birkinbor,BIRKINBOR,included_in_index,0.21151436149484587,20.0,asof_observed_or_offering,4.230287229896917,0.04347826086956522,2020-02-01,,0.0,0.0,
2025-07-31,full_market,all,equal_weight,rally-birkintan,BIRKINTAN,included_in_index,0.21975518077386583,19.25,asof_observed_or_offering,4.230287229896917,0.04347826086956522,2020-06-01,,0.0,0.0,
2025-07-31,full_market,all,equal_weight,rally-himalaya,HIMALAYA,included_in_index,0.07833865240549846,54.0,asof_observed_or_offering,4.230287229896917,0.04347826086956522,2020-05-01,,0.0,0.0,
2025-07-31,full_market,all,equal_weight,rally-soblack,SOBLACK,included_in_index,0.0961428915885663,44.0,asof_observed_or_offering,4.230287229896917,0.04347826086956522,2020-09-01,,0.0,0.0,
2025-07-31,full_market,all,equal_weight,rally-79stella,79STELLA,included_in_index,1.0575718074742293,4.0,asof_observed_or_offering,4.230287229896917,0.04347826086956522,2020-10-01,,0.0,0.0,
2025-07-31,full_market,all,equal_weight,rally-93daytona,93DAYTONA,included_in_index,0.23899927852524958,17.7,asof_observed_or_offering,4.230287229896917,0.04347826086956522,2020-09-01,,0.0,0.0,
2025-07-31,full_market,all,equal_weight,rally-bondwatch,BONDWATCH,included_in_index,1.9228578317713259,2.2,asof_observed_or_offering,4.230287229896917,0.04347826086956522,2022-01-01,,0.0,0.0,
2025-07-31,full_market,all,equal_weight,rally-dimaggio2,DIMAGGIO2,included_in_index,0.5603029443572076,7.55,asof_observed_or_offering,4.230287229896917,0.04347826086956522,2020-11-01,,0.0,0.0,
2025-07-31,full_market,all,equal_weight,rally-dominos,DOMINOS,included_in_index,0.8294680842935133,5.1,asof_observed_or_offering,4.230287229896917,0.04347826086956522,2021-01-01,,0.0,0.0,
2025-07-31,full_market,all,equal_weight,rally-gmtblack1,GMTBLACK1,included_in_index,0.14100957432989725,30.0,asof_observed_or_offering,4.230287229896917,0.04347826086956522,2020-06-01,,0.0,0.0,
2025-07-31,full_market,all,equal_weight,rally-riviera,RIVIERA,included_in_index,0.9837877278830041,4.3,asof_observed_or_offering,4.230287229896917,0.04347826086956522,2021-04-01,,0.0,0.0,
2025-07-31,full_market,all,equal_weight,rally-rlexpepsi,RLEXPEPSI,included_in_index,0.38988822395363293,10.85,asof_observed_or_offering,4.230287229896917,0.04347826086956522,2019-11-01,,0.0,0.0,
2025-07-31,full_market,all,equal_weight,rally-smurf,SMURF,included_in_index,0.24884042528805395,17.0,asof_observed_or_offering,4.230287229896917,0.04347826086956522,2019-11-01,,0.0,0.0,
2025-07-31,full_market,all,equal_weight,rally-snoopy,SNOOPY,included_in_index,0.2820191486597945,15.0,asof_observed_or_offering,4.230287229896917,0.04347826086956522,2020-04-01,,0.0,0.0,
2025-07-31,full_market,all,equal_weight,rally-tornek,TORNEK,included_in_index,1.3646087838377152,3.1,asof_observed_or_offering,4.230287229896917,0.04347826086956522,2020-11-01,,0.0,0.0,
2025-07-31,full_market,all,equal_weight,rally-03tache,03TACHE,included_in_index,1.0445153654066464,4.05,asof_observed_or_offering,4.230287229896917,0.04347826086956522,2020-11-01,,0.0,0.0,
2025-07-31,full_market,all,equal_weight,rally-14drc,14DRC,included_in_index,0.07421556543678802,57.0,asof_observed_or_offering,4.230287229896917,0.04347826086956522,2020-09-01,,0.0,0.0,
2025-07-31,full_market,all,equal_weight,rally-karuizawa,KARUIZAWA,included_in_index,1.128076594639178,3.75,asof_observed_or_offering,4.230287229896917,0.04347826086956522,2021-11-01,,0.0,0.0,
2025-07-31,full_market,all,equal_weight,rally-macallan1,MACALLAN1,included_in_index,0.23632889552496747,17.9,asof_observed_or_offering,4.230287229896917,0.04347826086956522,2021-11-01,,0.0,0.0,
2025-07-31,full_market,all,equal_weight,rally-macallan2,MACALLAN2,included_in_index,0.5678237892479083,7.45,asof_observed_or_offering,4.230287229896917,0.04347826086956522,2022-02-01,,0.0,0.0,
2025-07-31,full_market,all,equal_weight,rally-macallan3,MACALLAN3,included_in_index,0.6714741634757012,6.3,asof_observed_or_offering,4.230287229896917,0.04347826086956522,2022-07-01,,0.0,0.0,
2025-08-31,full_market,all,equal_weight,rally-megalodon,MEGALODON,included_in_index,0.7554084339101639,5.6,asof_observed_or_offering,4.230287229896917,0.04347826086956522,2021-10-01,,0.0,0.0,
2025-08-31,full_market,all,equal_weight,rally-mosasaur,MOSASAUR,included_in_index,1.0575718074742293,4.0,asof_observed_or_offering,4.230287229896917,0.04347826086956522,2021-02-01,,0.0,0.0,
2025-08-31,full_market,all,equal_weight,rally-birkinbor,BIRKINBOR,included_in_index,0.21151436149484587,20.0,asof_observed_or_offering,4.230287229896917,0.04347826086956522,2020-02-01,,0.0,0.0,
2025-08-31,full_market,all,equal_weight,rally-birkintan,BIRKINTAN,included_in_index,0.21975518077386583,19.25,asof_observed_or_offering,4.230287229896917,0.04347826086956522,2020-06-01,,0.0,0.0,
2025-08-31,full_market,all,equal_weight,rally-himalaya,HIMALAYA,included_in_index,0.07833865240549846,54.0,asof_observed_or_offering,4.230287229896917,0.04347826086956522,2020-05-01,,0.0,0.0,
2025-08-31,full_market,all,equal_weight,rally-soblack,SOBLACK,included_in_index,0.0961428915885663,44.0,asof_observed_or_offering,4.230287229896917,0.04347826086956522,2020-09-01,,0.0,0.0,
2025-08-31,full_market,all,equal_weight,rally-79stella,79STELLA,included_in_index,1.0575718074742293,4.0,asof_observed_or_offering,4.230287229896917,0.04347826086956522,2020-10-01,,0.0,0.0,
2025-08-31,full_market,all,equal_weight,rally-93daytona,93DAYTONA,included_in_index,0.23899927852524958,17.7,asof_observed_or_offering,4.230287229896917,0.04347826086956522,2020-09-01,,0.0,0.0,
2025-08-31,full_market,all,equal_weight,rally-bondwatch,BONDWATCH,included_in_index,1.9228578317713259,2.2,asof_observed_or_offering,4.230287229896917,0.04347826086956522,2022-01-01,,0.0,0.0,
2025-08-31,full_market,all,equal_weight,rally-dimaggio2,DIMAGGIO2,included_in_index,0.5603029443572076,7.55,asof_observed_or_offering,4.230287229896917,0.04347826086956522,2020-11-01,,0.0,0.0,
2025-08-31,full_market,all,equal_weight,rally-dominos,DOMINOS,included_in_index,0.8294680842935133,5.1,asof_observed_or_offering,4.230287229896917,0.04347826086956522,2021-01-01,,0.0,0.0,
2025-08-31,full_market,all,equal_weight,rally-gmtblack1,GMTBLACK1,included_in_index,0.14100957432989725,30.0,asof_observed_or_offering,4.230287229896917,0.04347826086956522,2020-06-01,,0.0,0.0,
